1	2	-1	2	43	0	43	6	0	6	200	0	200	0	0	0	0	0	0	0	0	1	0	1	1	0	
2	2	-1	2	221	0	221	10	0	10	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
3	28	13	2	3630	8400	221	18	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	28	13	2	3520	4800	221	14	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	28	13	2	3480	6000	221	14	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	-1	-1	2	0	0	221	1	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	-1	-1	2	0	0	221	1	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	-1	-1	2	0	0	221	1	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	27	-1	2	70	13200	221	30	0	10	200	0	200	-120	-222	0	0	0	0	0	0	1	0	1	0	0	
10	27	-1	2	110	19200	221	21	0	10	200	0	200	-152	-170	0	0	0	0	0	0	0	0	1	0	0	
11	27	-1	2	140	16800	221	30	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	1	0	0	
12	27	3	2	0	0	221	23	0	10	200	0	200	-151	-207	0	0	0	0	0	0	1	0	1	0	0	
13	27	3	2	30	0	221	23	0	10	200	0	200	-151	-207	0	0	0	0	0	0	1	0	1	0	0	
15	4	-1	2	100	2400	221	28	0	10	200	0	200	1	-23	0	0	0	0	0	0	1	0	1	0	0	
16	4	-1	2	130	0	221	28	0	10	200	0	200	8	-27	0	0	0	0	0	0	1	0	1	0	0	
17	4	-1	2	80	0	221	10	0	10	200	0	200	0	-19	0	0	0	0	0	0	1	0	1	0	0	
14	4	-1	2	30	1200	221	10	0	10	200	0	200	1	-22	0	0	0	0	0	0	1	0	1	0	0	
18	4	-1	2	90	7200	221	10	0	10	200	0	200	-16	-19	0	0	0	0	0	0	1	0	1	0	0	
19	4	-1	2	20	7800	221	10	0	10	200	0	200	4	-14	0	0	0	0	0	0	1	0	1	0	0	
20	4	-1	2	70	7200	221	10	0	10	200	0	200	-8	-25	0	0	0	0	0	0	0	0	1	0	0	
21	4	-1	2	0	920	221	10	0	10	200	0	200	137	25	0	0	0	0	0	0	1	0	1	0	0	
23	4	-1	2	50	9000	221	10	0	10	200	0	200	1	-22	0	0	0	0	0	0	1	0	1	0	0	
24	4	-1	2	60	13800	221	10	0	10	200	0	200	-7	-23	0	0	0	0	0	0	1	0	1	0	0	
25	-1	-1	2	2740	11400	221	11	0	10	200	0	200	85	43	0	0	0	0	0	0	1	0	0	0	0	
26	28	14	2	1890	1200	221	10	0	10	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	2	-1	2	370	0	221	10	0	10	200	0	200	90	30	0	0	0	0	0	0	1	0	1	0	0	
28	2	-1	2	380	0	221	10	0	10	200	0	200	48	-15	0	0	0	0	0	0	1	0	1	0	0	
29	2	-1	2	330	0	221	10	0	10	200	0	200	77	9	0	0	0	0	0	0	1	0	1	0	0	
22	4	-1	2	10	920	221	10	0	10	200	0	200	128	28	0	0	0	0	0	0	1	0	1	0	0	
34	2	-1	-1	370	0	221	10	0	10	200	0	200	90	30	0	0	0	0	0	0	1	0	1	0	0	
35	2	-1	-1	380	0	221	10	0	10	200	0	200	48	-17	0	0	0	0	0	0	1	0	1	0	0	
30	4	-1	2	160	7200	221	10	0	10	200	0	200	-50	-45	0	0	0	0	0	0	0	0	1	0	0	
31	4	-1	2	170	7200	221	10	0	10	200	0	200	-235	-260	0	0	0	0	0	0	0	0	1	0	0	
32	-1	14	2	0	2400	221	1	0	10	200	0	200	0	0	0	0	0	0	0	0	1	0	1	0	0	
33	2	-1	2	600	0	221	10	0	10	200	0	200	97	-22	0	0	0	0	0	0	0	0	1	0	0	
36	2	-1	2	440	0	221	10	0	10	200	0	200	98	-22	0	0	0	0	0	0	0	0	1	0	0	
37	2	-1	2	450	0	221	21	0	10	200	0	200	235	100	0	0	0	0	0	0	0	0	1	0	0	
38	2	-1	2	500	0	221	10	0	10	200	0	200	-205	-255	0	0	0	0	0	0	0	0	1	0	0	
39	2	-1	2	520	0	221	10	0	10	200	0	200	238	8	0	0	0	0	0	0	0	0	1	0	0	
40	2	-1	2	540	0	221	10	0	10	200	0	200	-283	-286	0	0	0	0	0	0	0	0	1	0	0	
41	2	-1	2	580	0	221	10	0	10	200	0	200	97	-37	0	0	0	0	0	0	0	0	1	0	0	
42	2	-1	2	610	0	221	10	0	10	200	0	200	71	-22	0	0	0	0	0	0	0	0	1	0	0	
43	2	-1	2	430	0	221	10	0	10	200	0	200	73	-22	0	0	0	0	0	0	0	0	1	0	0	
44	2	-1	2	480	0	221	19	0	10	200	0	200	242	100	0	0	0	0	0	0	0	0	1	0	0	
